jobTitle,company,location,experience,salary,jobLink,skills
Data Analyst,Coface India Credit Management Services,Bengaluru,0-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-grow-talent-hr-consulting-bengaluru-0-to-2-years-291124021444,"Excel, Word, Accounting, p&l, Balance Sheet, Data analysis, Sheet, Data"
Data analyst (5-7 Years),Fortune Global 500 Company Engg. & Construction,Hybrid - Chennai,5-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-5-7-years-randstad-chennai-5-to-7-years-181024004562,"Tableau, AWS, Python, SQL, Data analysis, Data"
Data Analyst,Gemini Solutions,"Mumbai, Gurugram, Bengaluru",3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-gemini-solutions-mumbai-gurugram-bengaluru-3-to-5-years-201124912779,"Cloud, ETL, Data Analytics, SQL, Automation Tools, Software Development, Networking, Database Management"
Data Analyst,Euclid Innovations,Bengaluru,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-euclid-innovations-pvt-ltd-bengaluru-3-to-5-years-031224503563,"Data analysis, tableau, Usage, Data collection, power bi, Data Analyst, data visualization, Management"
Data Analyst,Product Based Automobile Company,Bengaluru,2-5 Yrs,3-6 Lacs PA,https://www.naukri.com/job-listings-data-analyst-harita-techserv-bengaluru-2-to-5-years-021224013701,"Power Bi, SCM, SQL, Bi, Data analysis, Data"
Data Analyst,Harita Techserv (TVS Groups),Bengaluru,3-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-harita-techserv-bengaluru-3-to-6-years-021224013432,"SQL, Excel, Power Bi, Bi, Data analysis, Data"
Data Analyst,Wipro,"Hyderabad, Chennai, Bengaluru",3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-wipro-limited-hyderabad-chennai-bengaluru-3-to-5-years-291124908706,"Adobe Launch, predictive modelling, VBA, data visualization, MATLAB, Adobe Analytics, Microsoft Excel, Python"
Data Analyst - Hire To Retire,Siemens,Bengaluru,2-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-hire-to-retire-siemens-limited-bengaluru-2-to-10-years-261124504215,"Data analysis, Data management, Business analytics, Machine learning, Data structures, QlikView, Macros, SQL"
Data Analyst,Hewlett-Packard,Bengaluru,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-hp-bengaluru-3-to-5-years-201124507423,"VMware, Data analysis, Automation, Networking, Data modeling, Analytical, Consulting, Business intelligence"
Data Analyst,Coforge,Hybrid - Greater Noida,5-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-coforge-greater-noida-5-to-10-years-031224011138,"Production support, Snowflake, Data Warehouse, SQL, Warehouse, Data warehousing, Production, Data analysis"
